EP=16 DP=16
E	E/tok	tok	dim	Torch_lat	Torch_bw	Torch_bytes
64	6	1	2048	620.9μs ± 1486.9μs	0.894GB/s	135168
64	6	4	2048	621.5μs ± 1387.1μs	2.931GB/s	540672
64	6	8	2048	960.2μs ± 1864.8μs	4.651GB/s	1081344
64	6	16	2048	258.5μs ± 36.5μs	8.497GB/s	2162688
64	6	32	2048	370.1μs ± 23.2μs	11.728GB/s	4325376
64	6	64	2048	889.5μs ± 1190.0μs	13.274GB/s	8650752
64	6	128	2048	1513.7μs ± 1479.6μs	15.285GB/s	17301504
256	8	1	7168	536.9μs ± 1138.7μs	6.436GB/s	1892352
256	8	4	7168	1274.3μs ± 1702.8μs	11.359GB/s	7569408
256	8	8	7168	750.3μs ± 33.9μs	20.214GB/s	15138816
256	8	16	7168	1725.9μs ± 38.9μs	17.552GB/s	30277632
256	8	32	7168	3165.4μs ± 146.1μs	19.168GB/s	60555264
256	8	64	7168	5697.6μs ± 89.6μs	21.261GB/s	121110528
256	8	128	7168	10858.7μs ± 195.1μs	22.313GB/s	242221056
