EP=8 DP=8
E	E/tok	tok	dim	Dispatch_lat	Dispatch_bw	Dispatch_bytes	Combine_lat	Combine_bw	Combine_bytes	Torch_lat	Torch_bw	Torch_bytes	NVSHMEM_lat	NVSHMEM_bw	NVSHMEM_bytes
64	6	1	2048	509.7μs ±  1.6μs	0.025GB/s	12672	984.2μs ±  2.5μs	0.025GB/s	24576	61.9μs ±  9.5μs	2.215GB/s	135168	232.6μs ±  1.1μs	0.581GB/s	135168
64	6	4	2048	1719.2μs ± 94.9μs	0.030GB/s	50688	1022.0μs ± 86.7μs	0.097GB/s	98304	79.0μs ± 51.4μs	9.405GB/s	540672	260.0μs ± 30.8μs	2.105GB/s	540672
64	6	8	2048	2556.3μs ± 10.6μs	0.040GB/s	101376	1816.2μs ±  6.8μs	0.108GB/s	196608	45.2μs ±  6.4μs	24.370GB/s	1081344	302.9μs ±  1.2μs	3.570GB/s	1081344
64	6	16	2048	3710.8μs ± 17.9μs	0.055GB/s	202752	3446.1μs ± 23.0μs	0.114GB/s	393216	115.9μs ± 27.2μs	19.921GB/s	2162688	331.1μs ±  1.6μs	6.532GB/s	2162688
64	6	32	2048	6516.3μs ± 21.6μs	0.062GB/s	405504	6002.4μs ± 25.7μs	0.131GB/s	786432	99.9μs ± 14.4μs	44.090GB/s	4325376	394.0μs ±  2.4μs	10.978GB/s	4325376
64	6	64	2048	12495.3μs ± 18.0μs	0.065GB/s	811008	11853.2μs ± 31.2μs	0.133GB/s	1572864	238.8μs ± 32.0μs	36.822GB/s	8650752	536.7μs ± 106.4μs	16.517GB/s	8650752
64	6	128	2048	22864.4μs ± 444.9μs	0.071GB/s	1622016	19061.4μs ± 1653.2μs	0.166GB/s	3145728	4621.5μs ± 1767.4μs	5.256GB/s	17301504	680.5μs ± 70.5μs	25.661GB/s	17301504
256	8	1	7168	2368.1μs ± 35.6μs	0.025GB/s	59136	2042.8μs ± 37.0μs	0.056GB/s	114688	68.8μs ±  3.0μs	27.565GB/s	1892352	298.2μs ±  1.4μs	6.345GB/s	1892352
256	8	4	7168	4430.2μs ± 27.8μs	0.053GB/s	236544	1159.6μs ± 33.5μs	0.396GB/s	458752	542.7μs ± 19.5μs	13.965GB/s	7569408	414.6μs ±  9.0μs	18.265GB/s	7569408
256	8	8	7168	5534.3μs ± 12.9μs	0.085GB/s	473088	2169.1μs ± 17.5μs	0.423GB/s	917504	427.5μs ± 82.5μs	36.351GB/s	15138816	674.6μs ± 59.5μs	22.575GB/s	15138816
256	8	16	7168	7370.1μs ± 76.5μs	0.128GB/s	946176	3600.7μs ± 29.4μs	0.510GB/s	1835008	1518.5μs ± 76.2μs	19.981GB/s	30277632	944.8μs ± 99.3μs	32.313GB/s	30277632
256	8	32	7168	10663.8μs ± 27.7μs	0.177GB/s	1892352	7935.0μs ± 81.9μs	0.463GB/s	3670016	2311.8μs ± 132.9μs	26.274GB/s	60555264	2113.6μs ± 169.4μs	28.805GB/s	60555264
256	8	64	7168	18117.9μs ± 39.4μs	0.209GB/s	3784704	15406.6μs ± 58.9μs	0.476GB/s	7340032	3875.3μs ± 177.1μs	31.309GB/s	121110528	4635.3μs ± 124.9μs	26.146GB/s	121110528
256	8	128	7168	32956.7μs ± 256.4μs	0.230GB/s	7569408	31230.2μs ± 411.3μs	0.470GB/s	14680064	6854.6μs ± 245.9μs	35.380GB/s	242221056	9878.2μs ± 160.2μs	24.527GB/s	242221056
